intern_id,task_completion_time_hours,feedback_rating,attendance_percentage,tasks_completed,tasks_assigned,performance_score,performance_category
INT-0933,55.98,5.99,94.6,16,20,77.03,Average
INT-0934,61.77,9.01,93.51,19,25,89.13,Excel
INT-0935,45.72,5.31,77.2,18,23,79.79,Average
INT-0936,49.07,9.45,59.34,17,18,88.67,Excel
INT-0937,28.19,7.15,68.1,23,23,92.19,Excel
INT-0938,40.95,5.57,96.79,19,19,89.14,Excel
INT-0939,53.28,6.25,80.39,16,21,79.55,Average
INT-0940,52.39,6.08,77.24,22,26,87.17,Excel
INT-0941,44.54,5.42,98.78,17,17,99.93,Excel
INT-0942,52.64,7.33,95.39,15,15,82.56,Excel
INT-0943,47.89,5.48,84.22,13,16,80.41,Excel
INT-0944,56.4,4.15,81.36,18,22,68.99,Average
INT-0945,45.47,6.67,82.81,21,26,92.71,Excel
INT-0946,37.73,4.68,86.04,17,20,80.29,Excel
INT-0947,46.03,6.15,98.4,21,22,90.11,Excel
INT-0948,15.0,5.93,87.8,12,12,93.89,Excel
INT-0949,46.59,5.98,90.53,16,19,85.03,Excel
INT-0950,15.0,10.0,94.52,20,20,100.0,Excel
INT-0951,21.32,7.28,73.47,16,18,96.6,Excel
INT-0952,47.42,7.54,90.79,25,28,95.98,Excel
INT-0953,47.73,4.71,81.35,16,19,72.12,Average
INT-0954,28.05,6.28,61.36,16,16,88.98,Excel
INT-0955,33.45,7.5,64.85,18,18,89.21,Excel
INT-0956,58.45,5.77,74.84,7,13,70.78,Average
INT-0957,36.19,8.47,88.78,14,17,91.7,Excel
INT-0958,68.92,5.52,85.02,18,20,67.45,Average
INT-0959,41.98,6.8,85.66,14,17,86.39,Excel
INT-0960,46.9,6.38,100.0,13,15,93.75,Excel
INT-0961,61.4,7.43,72.58,20,23,80.85,Excel
INT-0962,43.57,6.3,83.75,22,26,88.32,Excel
INT-0963,29.97,6.82,86.74,20,23,92.46,Excel
INT-0964,40.68,6.87,77.37,15,15,94.8,Excel
INT-0965,41.57,6.17,84.25,16,16,82.85,Excel
INT-0966,25.62,7.88,69.6,15,17,89.06,Excel
INT-0967,38.93,7.53,96.69,13,17,95.03,Excel
INT-0968,33.09,7.08,77.87,14,14,81.84,Excel
INT-0969,53.09,6.6,100.0,14,19,91.04,Excel
INT-0970,42.42,8.32,83.71,13,14,93.3,Excel
INT-0971,38.61,6.87,93.25,11,13,93.07,Excel
INT-0972,40.73,6.77,83.52,18,18,93.14,Excel
INT-0973,44.68,7.35,83.72,18,21,88.55,Excel
INT-0974,49.4,9.58,78.74,23,27,90.48,Excel
INT-0975,30.0,5.32,85.07,15,16,88.26,Excel
INT-0976,29.5,8.28,86.86,19,21,96.16,Excel
INT-0977,55.26,4.55,76.94,16,22,74.01,Average
INT-0978,37.05,7.5,82.87,16,20,94.41,Excel
INT-0979,25.0,9.41,78.51,22,23,100.0,Excel
INT-0980,47.33,7.88,100.0,19,24,96.93,Excel
INT-0981,47.56,7.44,83.19,17,21,91.19,Excel
INT-0982,23.63,6.42,97.91,18,19,99.8,Excel
INT-0983,44.75,7.24,82.24,16,18,85.31,Excel
INT-0984,50.83,6.85,86.33,11,15,82.48,Excel
INT-0985,46.49,6.1,72.11,13,13,77.39,Average
INT-0986,49.58,6.79,79.98,14,17,82.62,Excel
INT-0987,25.15,7.48,85.89,14,14,92.65,Excel
INT-0988,45.97,6.13,98.27,18,23,85.43,Excel
INT-0989,38.37,6.07,86.0,22,22,95.89,Excel
INT-0990,36.21,5.3,96.45,13,15,92.05,Excel
INT-0991,52.45,7.75,89.77,17,18,85.02,Excel
INT-0992,59.75,7.96,98.65,11,17,86.18,Excel
INT-0993,63.53,7.52,83.47,14,20,75.22,Average
INT-0994,57.78,8.55,100.0,12,14,88.98,Excel
INT-0995,40.68,7.32,79.63,19,23,96.21,Excel
INT-0996,46.23,7.75,77.1,13,15,88.02,Excel
INT-0997,51.2,7.63,73.11,20,25,88.05,Excel
INT-0998,43.45,7.07,100.0,16,19,100.0,Excel
INT-0999,43.57,6.46,91.38,14,14,85.43,Excel
INT-1000,51.89,10.0,80.99,11,12,84.63,Excel
